Email,Label
Meeting scheduled for next week,0
Act now and get 50% off,1
Invoice for last month's services,0
Exclusive deal ends tonight,1
Status update on development work,0
Requesting leave for next week,0
Special discount just for you,1
Request for information,0
Welcome to the new team member,0
Act fast! Sale ends soon,1
Exclusive access granted,1
Limited spots available,1
Limited time discount on all products,1
Instant approval for credit,1
Team outing planned for Friday,0
Request for additional resources,0
Invitation to webinar,0
Confirmation of travel plans,0
Holiday schedule for next month,0
Cash bonus for you,1
Update on the marketing campaign,0
Project deadline has been extended,0
Performance review meeting scheduled,0
Limited offer: Buy one get one free,1
Action items from yesterday's meeting,0
Lunch plans for tomorrow?,0
Free download available,1
Earn money fast from home,1
Please find the report attached,0
Notice about office closure,0
You won a cash prize!,1
Limited time cashback offer,1
Special promotion for valued customers,1
Report on recent sales figures,0
Earn thousands per week,1
Reminder: submit your timesheet,0
Congratulations on your win,1
Training session on Friday,0
Team meeting agenda,0
Get free coupons now,1
Please approve the budget request,0
Notification of system downtime,0
Thank you for your support,0
Win a free iPhone now!,1
Urgent: Update your account details,1
Hot singles in your area,1
You've been selected for a prize,1
Schedule for product launch,0
"Congratulations, you have won a lottery!",1
Questions about the proposal,0
Free gift cards available,1
Free access to premium content,1
Get a free subscription now,1
Special offer for new customers,1
Get rich quick scheme,1
Meeting rescheduled to Thursday,0
Exclusive deal inside,1
Customer feedback summary,0
Make money online quickly,1
Details about the client visit,0
Follow up on the client email,0
Budget report attached,0
Please review the attached document,0
Exclusive invitation inside,1
Claim your bonus today,1
Your appointment is confirmed,0
Follow-up on action items,0
Earn cash rewards easily,1
Unlock your free trial,1
Congratulations! Claim your reward,1
Details about the new policy,0
Agenda for next week's meeting,0
Invitation to company event,0
Lowest price guaranteed,1
Exclusive offer just for you,1
Summary of last quarter results,0
Free membership available,1
Thank you for attending the meeting,0
Your loan has been approved,1
Urgent message for you,1
Act now to save big,1
Claim your free samples today,1
Feedback on the draft document,0
Win big prizes every day,1
Can we reschedule the call?,0
Don't miss this special offer,1
Get your free gift card today,1
Claim your prize before it expires,1
Update on hiring process,0
Urgent action required,1
Reminder for software update,0
Free tickets to the concert,1
Win a luxury car,1
Upcoming maintenance schedule,0
Project kickoff next Monday,0
Project status report,0
You have been selected for a free vacation,1
Instructions for new software,0
Minutes of today's meeting attached,0
Request for project updates,0
Thank you for your feedback,0
